190.5	152.5	145	73.5	136.5
172.5	132	125.5	63	121
167	130	125.5	69.5	119.5
169.5	150.5	133.5	64.5	128
175	138.5	126	77.5	135.5
177.5	142.5	142.5	71.5	131
179.5	142.5	127.5	70.5	134.5
179.5	138	133.5	73.5	132.5
173.5	135.5	130.5	70	133.5
162.5	139	131	62	126
178.5	135	136	71	124
171.5	148.5	132.5	65	146.5
180.5	139	132	74.5	134.5
183	149	121.5	76.5	142
169.5	130	131	68	119
172	140	136	70.5	133.5
170	126.5	134.5	66	118.5
182.5	136	138.5	76	134
179.5	135	128.5	74	132
191	140.5	140.5	72.5	131.5
184.5	141.5	134.5	76.5	141.5
181	142	132.5	79	136.5
173.5	136.5	126	71.5	136.5
188.5	130	143	79.5	136
175	153	130	76.5	142
196	142.5	123.5	76	134
200	139.5	143.5	82.5	146
185	134.5	140	81.5	137
174.5	143.5	132.5	74	136.5
195.5	144	138.5	78.5	144
197	131.5	135	80.5	139
182.5	131	135	68.5	136
